Seidel
Введите дополненную матрицу
2 -1 1 1
-1 2 -1 0
3 1 -2 -3
Итерация 0 {0,50000   0,25000   2,37500   }
Итерация 1 {-0,56250   0,90625   1,10938   }
Итерация 2 {0,39844   0,75391   2,47461   }
Итерация 3 {-0,36035   1,05713   1,48804   }
Итерация 4 {0,28455   0,88629   2,36996   }
Итерация 5 {-0,24184   1,06406   1,66928   }
Итерация 6 {0,19739   0,93334   2,26276   }
Итерация 7 {-0,16471   1,04902   1,77744   }
Итерация 8 {0,13579   0,95662   2,18199   }
Итерация 9 {-0,11269   1,03465   1,84829   }
Итерация 10 {0,09318   0,97074   2,12514   }
Итерация 11 {-0,07720   1,02397   1,89618   }
Итерация 12 {0,06389   0,98004   2,08586   }
Итерация 13 {-0,05291   1,01647   1,92887   }
Итерация 14 {0,04380   0,98634   2,05887   }
Итерация 15 {-0,03627   1,01130   1,95125   }
Итерация 16 {0,03003   0,99064   2,04036   }
Итерация 17 {-0,02486   1,00775   1,96659   }
Итерация 18 {0,02058   0,99358   2,02766   }
Итерация 19 {-0,01704   1,00531   1,97710   }
Итерация 20 {0,01411   0,99560   2,01896   }
Итерация 21 {-0,01168   1,00364   1,98430   }
Итерация 22 {0,00967   0,99699   2,01300   }
Итерация 23 {-0,00801   1,00250   1,98924   }
Итерация 24 {0,00663   0,99793   2,00891   }
Итерация 25 {-0,00549   1,00171   1,99262   }
Итерация 26 {0,00454   0,99858   2,00611   }
Итерация 27 {-0,00376   1,00117   1,99494   }
Итерация 28 {0,00311   0,99903   2,00419   }
Итерация 29 {-0,00258   1,00080   1,99653   }
Итерация 30 {0,00214   0,99933   2,00287   }
Итерация 31 {-0,00177   1,00055   1,99762   }
Итерация 32 {0,00146   0,99954   2,00197   }
Итерация 33 {-0,00121   1,00038   1,99837   }
Итерация 34 {0,00100   0,99969   2,00135   }
Итерация 35 {-0,00083   1,00026   1,99888   }
Итерация 36 {0,00069   0,99979   2,00092   }
Итерация 37 {-0,00057   1,00018   1,99923   }
Итерация 38 {0,00047   0,99985   2,00063   }
Итерация 39 {-0,00039   1,00012   1,99948   }
Итерация 40 {0,00032   0,99990   2,00043   }
Итерация 41 {-0,00027   1,00008   1,99964   }
Итерация 42 {0,00022   0,99993   2,00030   }
Итерация 43 {-0,00018   1,00006   1,99975   }
Итерация 44 {0,00015   0,99995   2,00020   }
Итерация 45 {-0,00013   1,00004   1,99983   }
Итерация 46 {0,00010   0,99997   2,00014   }
Итерация 47 {-0,00009   1,00003   1,99988   }
Итерация 48 {0,00007   0,99998   2,00010   }
Итерация 49 {-0,00006   1,00002   1,99992   }

Process finished with exit code 0
