MPI(Jacobi)
Введите дополненную матрицу
2 -1 1 1
-1 2 -1 0
3 1 -2 -3
Итерация 0 {0,50000   0,00000   1,50000   }
Итерация 1 {-0,25000   1,00000   2,25000   }
Итерация 2 {-0,12500   1,00000   1,62500   }
Итерация 3 {0,18750   0,75000   1,81250   }
Итерация 4 {-0,03125   1,00000   2,15625   }
Итерация 5 {-0,07813   1,06250   1,95313   }
Итерация 6 {0,05469   0,93750   1,91406   }
Итерация 7 {0,01172   0,98438   2,05078   }
Итерация 8 {-0,03320   1,03125   2,00977   }
Итерация 9 {0,01074   0,98828   1,96582   }
Итерация 10 {0,01123   0,98828   2,01025   }
Итерация 11 {-0,01099   1,01074   2,01099   }
Итерация 12 {-0,00012   1,00000   1,98889   }
Итерация 13 {0,00555   0,99438   1,99982   }
Итерация 14 {-0,00272   1,00269   2,00552   }
Итерация 15 {-0,00142   1,00140   1,99727   }
Итерация 16 {0,00207   0,99792   1,99857   }
Итерация 17 {-0,00032   1,00032   2,00206   }
Итерация 18 {-0,00087   1,00087   1,99967   }
Итерация 19 {0,00060   0,99940   1,99913   }
Итерация 20 {0,00014   0,99986   2,00060   }
Итерация 21 {-0,00037   1,00037   2,00014   }
Итерация 22 {0,00012   0,99988   1,99963   }
Итерация 23 {0,00013   0,99987   2,00012   }
Итерация 24 {-0,00012   1,00012   2,00013   }
Итерация 25 {-0,00000   1,00000   1,99988   }
Итерация 26 {0,00006   0,99994   2,00000   }
Итерация 27 {-0,00003   1,00003   2,00006   }
Итерация 28 {-0,00002   1,00002   1,99997   }
Итерация 29 {0,00002   0,99998   1,99998   }
Итерация 30 {-0,00000   1,00000   2,00002   }
Итерация 31 {-0,00001   1,00001   2,00000   }
Итерация 32 {0,00001   0,99999   1,99999   }
Итерация 33 {0,00000   1,00000   2,00001   }
Итерация 34 {-0,00000   1,00000   2,00000   }
Итерация 35 {0,00000   1,00000   2,00000   }
Итерация 36 {0,00000   1,00000   2,00000   }
Итерация 37 {-0,00000   1,00000   2,00000   }
Итерация 38 {-0,00000   1,00000   2,00000   }
Итерация 39 {0,00000   1,00000   2,00000   }
Итерация 40 {-0,00000   1,00000   2,00000   }
Итерация 41 {-0,00000   1,00000   2,00000   }
Итерация 42 {0,00000   1,00000   2,00000   }
Итерация 43 {-0,00000   1,00000   2,00000   }
Итерация 44 {-0,00000   1,00000   2,00000   }
Итерация 45 {0,00000   1,00000   2,00000   }
Итерация 46 {0,00000   1,00000   2,00000   }
Итерация 47 {-0,00000   1,00000   2,00000   }
Итерация 48 {0,00000   1,00000   2,00000   }
Итерация 49 {0,00000   1,00000   2,00000   }

Process finished with exit code 0
